Symbol,Facility Gov ID,Facility Year
CHCO,1005462,2015
CHCO,1005478,2015
GF,1006187,2015
CZR,1005529,2011
STT^G,1005509,2015
CHCO,1005514,2015
ORAN,1005524,2016
CHCO,1005531,2015
CHK,1007448,2011
CHCO,1005568,2015
CHCO,1005568,2015
NWE,1005574,2015
CHCO,1005583,2015
ALB,1005594,2015
TROX,1004701,2011
CHCO,1005619,2015
CHCO,1006789,2019
ARLP,1005621,2015
CHNR,1012335,2019
USFD,1005655,2011
EQC,1005660,2011
CHCO,1005665,2015
SEB,1005686,2011
PEBK,1005699,2019
CHCO,1005701,2015
CHCO,1005723,2015
CCK,1005732,2017
SCHN,1005755,2015
CREE,1005759,2015
CEIX,1008766,2011
BDC,1005773,2015
CHCO,1008498,2015
CHCO,1005782,2015
VLO,1005791,2019
MOS,1005817,2011
CEQP,1013714,2019
CHCO,1006127,2015
MH^C,1005874,2019
NGS,1005876,2019
CHCO,1005895,2015
CVX,1005903,2019
GLHA,1005906,2019
CHCO,1005928,2015
CHCO,1005928,2015
AEP,1009888,2019
RM,1005964,2015
CHCO,1005973,2017
ABB,1006009,2015
KHC,1006018,2019
CHCO,1006026,2015
SCS,1006027,2011
CHCO,1007018,2019
WM,1006036,2015
EQNR,1013204,2019
BK,1006075,2015
HBP,1006108,2011
WHR,1010295,2011
BOH,1006173,2015
CHCO,1006178,2019
JVA,1006186,2015
NAV,1006190,2019
CHCO,1007327,2019
RM,1006218,2019
WM,1006219,2019
CHCO,1006224,2015
VIST,1006227,2019
CHCO,1006230,2015
HCAP,1006244,2015
WLL,1010199,2011
LEG,1006269,2011
CHCO,1006276,2015
ERII,1006283,2015
CHCO,1006299,2015
IGR,1006313,2019
CHCO,1006344,2015
CHCO,1006344,2015
HRL,1006347,2011
CHCO,1006350,2015
CHCO,1006421,2015
MDWT,1006524,2015
CAG,1013721,2019
FDP,1006447,2016
CHCO,1006455,2015
REGI,1006469,2015
MH^C,1006474,2016
RXN,1006482,2019
CHCO,1006486,2015
CHCO,1006544,2019
AZO,1006588,2015
AAWW,1006608,2011
FMBI,1012016,2015
MGM,1006611,2011
CHCO,1006634,2015
SWX,1006640,2011
CHCO,1006663,2015
FLR,1006675,2016
NGS,1006688,2015
CHCO,1006716,2015
WM,1006724,2015
AEP,1009888,2011
BAC,1006733,2015
NGS,1006762,2015
CG,1006768,2019
WM,1006805,2015
CHCO,1006817,2015
CHCO,1006826,2015
BMY,1007271,2011
CHCO,1006858,2015
LOB,1006860,2011
CHCO,1011031,2019
EQC,1006902,2011
HFBL,1006955,2011
CHCO,1006957,2015
CHCO,1006978,2016
CHCO,1006986,2015
GFL,1010760,2019
NGS,1006992,2015
SHW,1011274,2015
CHCO,1007011,2011
CHCO,1007020,2015
CHCO,1007736,2019
NWN,1011405,2019
CHCO,1007090,2015
SPR,1007114,2011
NGS,1007118,2019
BKSC,1007121,2015
SRE,1009921,2011
TVC,1007128,2015
CHCO,1007136,2015
STT^G,1007163,2015
ALG,1007208,2015
WGO,1007224,2015
CHCO,1007276,2015
WM,1007282,2011
CHCO,1007290,2015
MINN,1007314,2011
CHCO,1007319,2019
CHCO,1007322,2015
BKSC,1007355,2015
ORAN,1007397,2015
CHCO,1007421,2015
CHCO,1007431,2015
HPQ,1007515,2015
CDE,1007526,2015
PLYM,1007529,2015
WM,1007590,2015
CHCO,1007605,2015
WM,1007644,2019
WM,1007651,2019
BPMP,1007661,2011
CHCO,1007712,2015
MH^C,1007715,2019
CHCO,1007733,2015
QCOM,1011718,2015
BCOW,1007973,2015
CHCO,1007780,2015
CHCO,1007802,2015
YSAC,1007803,2011
HAYN,1007869,2011
DIS,1007870,2015
SU,1007923,2011
CHCO,1007939,2015
MDWT,1007949,2019
IFF,1007956,2011
HIG^G,1008022,2019
RRC,1008918,2015
CHCO,1008058,2015
CHCO,1008060,2015
MH^C,1008063,2019
COG,1008081,2015
CPG,1010521,2015
CHCO,1008098,2010
CHNR,1011535,2015
ORAN,1008215,2015
AOSL,1008262,2015
COG,1009258,2015
FFWM,1011508,2015
CLR,1013713,2015
EARS,1008474,2019
AAWW,1011547,2015
COG,1012192,2017
CBT,1012689,2016
CHK,1009313,2011
ETRN,1008687,2018
PVAC,1008713,2011
AEP,1008730,2019
AVGO,1008734,2019
CNX,1012762,2019
COG,1008794,2015
SD,1012077,2015
HBP,1012693,2016
COG,1009054,2019
BLL,1009054,2011
LPI,1012359,2019
WM,1009068,2019
PDCE,1009286,2015
EQT,1010233,2011
FANG,1009434,2019
COG,1009485,2015
CHCO,1009494,2015
PKOH,1009529,2019
JLL,1009547,2019
VVNT,1009577,2019
COG,1011275,2014
ERF,1009595,2015
BTU,1009600,2019
AMOV,1009615,2015
GJO,1009830,2015
COG,1012735,2019
COG,1012742,2016
SWKS,1009735,2016
METC,1009758,2019
PCG,1009780,2015
CDEV,1011998,2015
AMOV,1009865,2015
TRN,1009875,2017
CRK,1009907,2019
MXIM,1009982,2016
QRVO,1011813,2017
WM,1010034,2019
USFD,1010046,2016
NXPI,1010083,2015
CHCO,1010082,2015
SAFM,1010104,2016
BHK,1010117,2015
BPMP,1010120,2019
JCI,1010137,2011
CHCO,1010159,2015
AREC,1010173,2019
AR,1011941,2015
FORE,1010263,2013
IR,1010710,2019
CHCO,1010207,2018
BAC,1010247,2015
BAC,1010248,2016
AIRI,1010260,2019
AEP,1010321,2015
OAS,1013393,2019
HCC,1010328,2017
CHCO,1010364,2019
BATL,1010372,2019
EXPD,1010378,2019
REVG,1010420,2015
MLR,1010420,2016
RAVN,1010420,2012
COG,1010420,2012
COG,1010420,2015
SRL,1010420,2012
COG,1011538,2019
MDC,1010420,2012
REVG,1010420,2015
WM,1010420,2012
RMCF,1010420,2012
MLR,1010420,2016
QMCO,1010422,2015
REVG,1010422,2015
GLP,1010430,2015
TPVG,1010466,2015
COF,1012679,2019
BEP,1010538,2016
GM,1006371,2010
HBP,1010614,2015
EQH,1010639,2015
CHCO,1010661,2015
USFD,1010674,2015
