Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
IBRX,2021-06-19,30,0,0,0,0,53,0,77,34,51,29,42,6,0
IBTX,2021-06-19,34,9,22,32,0,40,0,31,37,83,37,37,46,24
ICAD,2021-06-19,19,0,0,0,0,16,0,16,16,34,31,39,24,0
ICBK,2021-06-19,25,0,0,0,0,34,0,31,46,45,22,24,33,0
ICE,2021-06-19,64,61,54,65,62,63,82,46,54,77,65,67,68,52
ICFI,2021-06-19,78,76,74,71,87,84,85,69,82,94,73,71,91,52
ICHR,2021-06-19,40,19,18,2,32,37,13,62,33,58,73,80,92,8
ICPT,2021-06-19,44,0,0,0,0,61,0,75,77,50,59,85,12,0
ICUI,2021-06-19,45,11,16,20,0,47,16,74,39,51,60,72,58,0
IDA,2021-06-19,54,57,44,55,75,38,40,16,21,76,72,91,23,52
IDCC,2021-06-19,23,0,0,0,0,38,0,18,56,64,22,18,47,0
IDN,2021-06-19,28,0,0,0,0,21,0,35,5,27,42,39,80,0
IDT,2021-06-19,14,0,0,0,0,12,0,16,8,27,31,42,17,0
IDXX,2021-06-19,53,65,75,70,50,67,11,85,77,93,29,26,33,37
IDYA,2021-06-19,10,0,0,0,0,16,0,28,7,14,12,16,6,0
IEP,2021-06-19,6,2,6,0,0,8,0,30,3,12,11,1,41,16
IESC,2021-06-19,10,0,0,0,0,15,0,10,10,45,18,21,19,0
IEX,2021-06-19,53,57,35,75,60,54,43,38,65,74,48,57,12,54
IFF,2021-06-19,87,91,92,91,88,85,93,88,73,82,86,84,88,96
IGMS,2021-06-19,23,0,0,0,0,45,0,28,75,51,20,25,13,0
IGT,2021-06-19,75,82,90,88,0,74,87,51,84,94,69,72,39,97
IHC,2021-06-19,17,0,0,0,0,21,0,36,10,35,17,15,34,0
IHRT,2021-06-19,29,7,0,24,0,43,37,34,35,67,18,16,38,0
III,2021-06-19,74,89,90,92,88,67,77,46,96,53,75,83,39,90
IIIN,2021-06-19,13,0,0,0,0,9,0,8,2,30,40,38,74,0
IIIV,2021-06-19,14,0,0,0,0,18,0,28,10,38,18,9,57,0
IIN,2021-06-19,21,0,0,0,0,28,0,48,4,50,21,18,44,0
IIPR,2021-06-19,27,9,21,0,0,41,0,42,28,59,36,51,9,0
IIVI,2021-06-19,31,9,23,4,0,29,4,11,21,68,62,59,89,32
ILMN,2021-06-19,66,73,87,83,50,91,86,92,98,92,28,11,58,69
ILPT,2021-06-19,18,3,8,0,0,27,0,42,11,37,26,28,36,0
IMGN,2021-06-19,42,0,0,0,0,47,0,28,38,80,66,81,57,0
IMKTA,2021-06-19,15,7,0,7,22,22,0,39,12,29,12,7,38,0
IMMR,2021-06-19,14,0,0,0,0,29,0,35,6,46,5,4,10,0
IMUX,2021-06-19,22,0,0,0,0,53,0,59,65,51,9,4,34,0
IMVT,2021-06-19,8,0,0,0,0,16,0,26,1,19,6,4,15,0
IMXI,2021-06-19,17,0,0,0,0,23,0,28,32,38,22,10,74,0
INBK,2021-06-19,39,0,0,0,0,34,0,31,35,62,62,84,27,0
INCY,2021-06-19,61,33,95,0,0,82,0,77,92,98,60,79,30,12
INDB,2021-06-19,39,2,11,0,0,32,0,31,30,62,65,84,44,0
INDT,2021-06-19,21,14,27,5,0,23,0,0,29,37,26,13,90,0
INFN,2021-06-19,54,64,81,85,43,63,80,53,70,64,38,33,38,61
INFU,2021-06-19,14,0,0,0,0,18,0,16,23,34,14,3,60,0
INGN,2021-06-19,35,18,0,0,50,34,21,66,3,34,43,53,38,0
INGR,2021-06-19,69,43,56,39,0,73,57,89,62,82,92,92,92,91
INN,2021-06-19,61,69,53,95,24,57,92,42,41,76,56,53,81,37
INO,2021-06-19,45,0,0,0,0,70,0,98,83,50,54,76,15,0
INOV,2021-06-19,42,0,0,0,0,40,0,35,18,70,57,85,1,0
INS,2021-06-19,23,0,0,0,0,35,0,43,15,47,16,2,76,0
INSE,2021-06-19,31,0,0,0,0,43,56,35,39,46,29,15,93,0
INSG,2021-06-19,21,0,0,0,0,23,0,18,14,42,32,20,95,0
