Facility Gov ID,GHG Year,co2,ch4,n2o
1000004,2010,62303.9,19.25,22.946
1000003,2010,78343.2,27.75,37.25
1000002,2010,108013.0,37.0,44.104
1000021,2010,96336.5,31.0,36.952
1000024,2010,73580.3,25.0,29.8
1002009,2010,75395.1,24.5,29.502
1005158,2010,51.0,153488.5,nan
1005458,2010,524652.1,638.25,1092.17
1002750,2010,418047.0,641.25,1061.476
1002542,2010,59958.0,28.5,33.972
1001760,2010,74488.0,35.0,41.72
1006415,2010,20001.0,9.5,11.324
1004404,2010,39193.9,18.5,22.052
1002772,2010,40885.5,19.25,22.946
1002645,2010,9342.1,200394.5,5.364
1001399,2010,470158.1,219.5,261.644
1004087,2010,185879.8,88.0,104.896
1007418,2010,1568244.9,421.25,8033.484
1005709,2010,50506.4,24.0,29.8
1006883,2010,92374.2,44.25,208.302
1003846,2010,38096.1,19.75,28.608
1002978,2010,39141.1,21.5,25.628
1001609,2010,576124.9,267.0,318.264
1000759,2010,571904.1,265.2,316.178
1004760,2010,1731.6,0.75,0.894
1007189,2010,661160.0,309.75,379.056
1007311,2010,1405213.7,4080.5,7064.388
1000158,2010,500018.0,1368.5,2483.83
1004962,2010,970072.3,312.75,4515096.042
1002530,2010,472192.1,639.0,1019.756
1007180,2010,2385342.5,6839.0,11885.73
1006751,2010,1031755.2,271.0,5170.002
1004873,2010,2060.0,2.0,5.066
1000132,2010,41298.7,23.05,35.76
1007053,2010,1183085.2,606.25,849.002
1002577,2010,65009.2,30.5,36.356
1000101,2010,2286625.2,1060.25,1263.818
1011217,2010,nan,82507.5,nan
1003450,2010,nan,24599.75,nan
1004233,2010,190679.1,91.75,113.538
1006523,2010,35008.4,16.5,19.668
1007247,2010,589534.9,273.5,326.012
1000551,2010,8702.7,4.0,4.768
1005810,2010,nan,38258.5,nan
1001379,2010,36126.6,16.75,19.966
1001780,2010,117023.2,55.25,65.858
1001397,2010,19145.6,8.5,10.132
1000843,2010,2390099.8,7775.75,13486.884
1000254,2010,784979.3,2302.75,3990.22
1003903,2010,59043.0,27.75,32.78
1005872,2010,53054.3,195.75,233.334
1000668,2010,1939941.5,509.75,9721.058
1000732,2010,599099.1,1747.5,3037.514
1005983,2010,68282.0,31.75,37.846
1003412,2010,nan,89705.0,nan
1002728,2010,180437.0,85.0,101.32
1002032,2010,90438.8,43.0,51.852
1000046,2010,nan,42151.0,15.496
1006833,2010,47358.0,22.25,26.82
1007654,2010,nan,9930.0,nan
1002896,2010,nan,75273.0,nan
1007875,2010,nan,124264.25,nan
1004171,2010,79264.3,222.0,2.98
1004964,2010,1624.8,0.75,0.894
1002944,2010,44701.6,21.0,25.032
1002943,2010,170305.9,80.25,95.658
1004748,2010,94800.2,44.75,53.64
1005395,2010,42643.6,20.5,24.436
1004406,2010,nan,40116.5,nan
1002168,2010,nan,35750.75,nan
1002167,2010,nan,46697.75,nan
1002401,2010,15.7,31728.25,nan
1006619,2010,0.0,nan,nan
1005850,2010,32428.2,15.25,18.178
1004208,2010,703858.9,203.75,242.87
1002613,2010,79979.5,37.75,44.998
1007885,2010,94297.4,46.25,58.706
1002622,2010,47812.2,22.75,27.118
1000017,2010,128221.7,202.5,332.866
1003551,2010,91264.2,43.0,51.256
1003325,2010,267121.1,126.75,153.47
1000356,2010,52462.2,26.25,31.29
1006829,2010,50907.3,24.0,28.906
1005378,2010,32172.2,15.25,18.178
1001934,2010,684934.2,301.0,358.792
1006543,2010,1524329.8,7105.75,9716.886
1006355,2010,30982.3,14.5,17.284
1004740,2010,53455.8,25.25,30.396
1002766,2010,7.6,17160.75,nan
1002639,2010,26.0,54420.25,nan
1007735,2010,6673.2,6.75,15.496
1004618,2010,41441.5,941.75,1473.014
1004996,2010,95228.1,267.25,461.006
1001918,2010,32417.5,15.25,18.476
1002999,2010,56356.5,26.5,32.78
1007684,2010,nan,63153.8182,nan
1006417,2010,1.9,53954.25,nan
1002278,2010,37319.7,17.5,20.86
1000330,2010,66434.0,14.25,16.986
1006384,2010,99963.3,47.0,56.62
1005038,2010,68457.0,1785.5,2822.656
1006139,2010,187806.0,88.5,105.492
1006416,2010,19852.6,9.25,11.026
1007568,2010,43074.0,19.75,23.542
1004815,2010,80.3,224917.25,nan
1003744,2010,nan,82098.25,nan
1005525,2010,83667.9,39.5,47.084
1004353,2010,nan,3752.5,nan
1005845,2010,28278.0,13.25,14.9
1002325,2010,57504.0,27.25,32.184
1003718,2010,42659.4,120.0,208.6
1003913,2010,35954.5,99.25,169.86
1003478,2010,nan,86955.0,nan
1004613,2010,44163.5,32.75,65.858
1000331,2010,nan,16808.75,nan
1006093,2010,35026.1,16.5,19.668
1005281,2010,nan,218300.0,nan
1006223,2010,3.5,186739.953075,nan
1006787,2010,169988.4,81.25,98.34
1002443,2010,158279.0,75.25,90.294
1005626,2010,168194.3,79.75,95.956
1007094,2010,nan,141487.75,nan
1006961,2010,645117.8,8627.5,1742.406
1009068,2010,244837.4,1014.75,533.42
1004354,2010,5.2,9092.5,nan
1000477,2010,nan,483284.25,nan
1000383,2010,35762.0,16.75,14.9
1006002,2010,26700.0,12.5,14.9
1003327,2010,513970.8,1572.25,2663.822
1007900,2010,0.0,25523.173125,nan
1011449,2010,nan,352772.0,nan
1000287,2010,nan,39069.5,nan
1006217,2010,272206.0,53.5,986.38
1005974,2010,313617.4,106.0,1634.232
1000576,2010,220215.4,56.75,1081.74
1005518,2010,0.0,nan,nan
1004245,2010,nan,316670.5,nan
1001943,2010,86.4,52523.0,0.298
1004237,2010,250042.4,118.0,140.656
1006102,2010,22786.5,10.75,12.814
1001132,2010,103029.8,48.5,56.62
1005846,2010,32649.0,15.5,18.476
1005980,2010,55985.7,1258.0,28481.648
1004869,2010,53710.0,25.75,293.53
1005891,2010,nan,216960.0,nan
1004082,2010,38.1,84187.5,nan
1002158,2010,64.5,253549.5,0.298
1005880,2010,36536.7,96.0,205.322
1000638,2010,29166.4,18.0,30.992
1006256,2010,147386.4,11450.75,20468.726
1002893,2010,80959.8,6877.75,13053.294
1007994,2010,162776.4,6012.25,11084.408
1002963,2010,162453.0,5616.25,10251.498
1002252,2010,30874.0,15.0,29.8
1007541,2010,nan,6180.962425,nan
1004091,2010,55403.2,26.0,30.992
1006461,2010,24613.3,11.5,13.708
1007948,2010,nan,21075.0,nan
1006301,2010,2179763.0,6253.5,3952.076
1006661,2010,nan,11074.886125,nan
1003818,2010,12.1,45558.25,nan
1004958,2010,nan,29754.25,nan
1000452,2010,116374.8,55.25,65.56
1006468,2010,2519247.3,11975.0,7142.464
1006078,2010,1278424.2,8528.25,3336.11
1006259,2010,40822.8,19.25,23.244
1007339,2010,4685645.1,24263.0,9600.07
1004111,2010,27026.7,12.75,14.9
1007367,2010,49690.8,23.5,28.012
1001649,2010,2400854.2,1132.25,1350.238
1001650,2010,1651922.4,779.0,928.866
1001651,2010,673369.0,317.5,378.46
1006838,2010,48383.9,199.0,36.058
1001799,2010,417242.0,196.75,234.526
1001800,2010,420085.8,198.0,236.016
1001872,2010,560451.2,264.25,315.284
1001873,2010,429524.3,202.75,241.678
1001874,2010,396699.5,187.0,223.202
1001875,2010,303055.7,143.0,170.456
1001628,2010,507916.2,239.5,285.484
1001801,2010,175786.4,83.0,98.936
1007371,2010,142792.1,67.25,80.162
1005003,2010,184846.0,74.25,87.612
1002354,2010,27675.599,13.05,15.496
1003356,2010,nan,123624.25,nan
1007951,2010,769.420231,178472.15495,96.341016
1007574,2010,32504.0,26.75,55.428
1006214,2010,27049.0,13.75,17.284
1002489,2010,30.9,251900.0,nan
1004280,2010,29606.2,14.0,17.88
1005023,2010,nan,219886.5,159.728
1004026,2010,43.2,50720.5,83.44
1002349,2010,49758.1,23.5,28.012
1006373,2010,322649.0,152.75,182.078
1003241,2010,26179.4,12.25,14.602
1003898,2010,54894.2,26.0,30.992
1002954,2010,48483.9,24.5,32.78
1007026,2010,nan,14387.5,nan
1002600,2010,53240.7,105.25,175.82
1004494,2010,49.7,29284.0,nan
1006828,2010,61833.1,29.0,34.866
1004848,2010,nan,176165.5,nan
1006464,2010,nan,20325.0,nan
1007712,2010,nan,13797.5,nan
1002169,2010,38412.5,18.0,20.86
1006196,2010,221.3,1961.0,0.596
1007605,2010,15.2,198646.75,nan
1002436,2010,51.0,87862.5,nan
1003543,2010,nan,32548.75,nan
1004947,2010,nan,9757.0,36.356
1005056,2010,nan,40292.5,nan
1001811,2010,31031.9,16.25,23.84
1001726,2010,45862.7,130.0,224.692
1004415,2010,nan,40352.0,nan
1007680,2010,nan,101007.5,nan
1006174,2010,781502.8,1805.15,2699.582
1006221,2010,nan,85157.5,nan
1006784,2010,125106.5,51.25,122.18
1001775,2010,52.9,62352.75,nan
1006406,2010,nan,4637.5,nan
1005954,2010,4189.0,167.5,283.1
1002433,2010,60942.3,28.75,34.27
1002526,2010,76495.4,36.0,42.912
1005022,2010,44082.3,20.75,24.734
1005019,2010,87677.4,220.25,377.864
1005075,2010,80131.0,37.75,44.998
1004105,2010,35447.7,16.75,19.966
1005076,2010,39463.0,18.5,22.052
1000573,2010,1381.8,0.75,0.894
1007600,2010,nan,13227.25,4.47
1006969,2010,284.0,52493.5,171.946
1002265,2010,68989.0,32.5,38.74
1007743,2010,500.496923,76122.7075,0.281312
1003405,2010,37407.3,17.75,20.86
1003086,2010,22748.1,10.75,11.92
1003837,2010,76417.8,36.0,42.912
1004355,2010,nan,19110.0,nan
1007554,2010,9.7,46946.75,nan
1000191,2010,52.0,124625.0,nan
1007815,2010,491.191257,29463.405225,1.201536
1001409,2010,115050.2,54.0,65.262
1001537,2010,2415163.8,6301.0,10921.104
1002087,2010,115984.0,54.75,65.56
1007302,2010,11736574.7,33896.25,58776.03
1002945,2010,28566.4,13.5,16.092
1000997,2010,818394.6,379.5,452.364
1000517,2010,4084.7,2.0,2.384
1002877,2010,255035.4,150.75,348.66
