Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
ATOS,531627219.00,,,-1.975,8.333333,,,,
ATR,9342693873.00,39.463196,4.89,3.614,4.9230237,3.140268,,,
ATRA,1198934270.00,,,-4.145,2.770063,,,,
ATRC,3374755010.00,,-2.64,-1.116,8.859609,16.308746,,,
ATRI,1149145358.00,36.112427,,16.864,4.54851,7.775272,,,
ATRO,560053036.00,,-0.75,-1.979,2.4367352,1.3936938,,,
ATRS,747776318.00,11.802817,0.49,0.355,5.601604,4.459333,,,
ATUS,15859005106.00,27.840736,0.31,1.306,,1.6848257,,,
ATVI,75005427746.00,32.4223,1.34,2.96,4.8631806,8.6982765,,,
ATXI,75366306.00,,,-0.297,30.909092,,,,
AUB,3131183856.00,16.414938,1.72,2.41,1.2593513,4.6276402,,,
AUD,637709814.00,,-0.82,,,0.64038587,,,
AUMN,110950498.00,,,-0.062,10.672603,20.353815,,,
AUVI,91299916.00,,,,,15.16164,,,
AVAH,2331518569.00,,,,,1.4453586,,,
AVAV,2719842177.00,90.64672,3.13,1.237,5.1028485,7.020643,,,
AVB,29423073294.00,37.151344,25.82,5.722,2.7771175,13.191345,,,
AVCO,102152512.00,,,-0.145,22.545454,79.94433,,,
AVEO,249802834.00,,,-2.037,3.240038,32.800037,,,
AVGO,189423698101.00,43.74942,1.98,10.759,8.061588,7.5211425,,,
AVGR,111561257.00,,,-0.324,5.3953485,12.209708,,,
AVID,1575900100.00,76.375,1.23,0.48,,4.497559,,,
AVIR,2027882326.00,,,,,16.73968,,,
AVLR,11203540939.00,,10.27,-0.771,11.11261,22.196995,,,
AVNS,1904141941.00,,5.95,-0.81,1.5132308,2.6641102,,,
AVNW,423122953.00,4.4186535,2.24,9.435,2.5897627,1.750567,,,
AVO,1547181719.00,,1.7,,,1.8757799,,,
AVRO,395525175.00,,,-3.159,1.8056302,,,,
AVXL,1068093530.00,,,-0.451,19.445984,,,,
AVY,18105645849.00,28.90931,2.48,7.509,11.397669,2.4684665,,,
AWK,28599545290.00,40.91587,4.33,3.958,4.4642463,7.6911798,,,
AWR,2972605259.00,32.10761,6.34,2.472,4.5114536,5.9041343,,,
AXAS,27455427.00,,-4.95,-29.741,,0.59353715,,,
AXDX,519484619.00,,-0.21,-1.425,,40.85389,,,
AXL,1404336373.00,,0.09,-0.203,3.4998581,0.29327103,,,
AXLA,125741708.00,,,-1.604,2.6100245,,,,
AXNX,2737367566.00,,0.28,-1.632,7.3546176,22.290224,,,
AXON,9576520090.00,,6.14,-0.86,9.724266,13.489598,,,
AXP,131813966133.00,26.992296,0.89,6.101,5.408743,3.9598866,,,
AXR,104342364.00,,,-0.054,1.2637746,3.9305549,,,
AXSM,2385719765.00,,0.31,-2.672,25.243814,,,,
AXTA,7382096324.00,87.02777,0.59,0.36,5.3656445,1.9116824,,,
AXTI,433575000.00,73.4375,4.23,0.16,2.5144448,4.676841,,,
AYI,6664416643.00,27.91754,1.57,6.694,3.4176407,2.061998,,,
AYRO,200799874.00,,,,,120.78907,,,
AYTU,135921218.00,,,-2.218,0.80450654,2.0874805,,,
AYX,5290464704.00,,1656.16,-0.37,11.578947,11.201257,,,
AZEK,7154756461.00,,1.97,,,6.600385,,,
